,0,1,2
899,Rs.,"31,288",
900,Rs.,"19,999",
901,Rs.,"2,669",
902,Rs.,"12,450",
903,Rs.,"2,525",
904,Rs.,"31,288",
905,Rs.,"16,899",
906,Rs.,"39,999",
907,Rs.,"11,750",
908,Rs.,"10,730",
909,Rs.,"20,999",
910,Rs.,"42,999",
911,Rs.,"13,899",
912,Rs.,"27,499",
913,Rs.,"29,960",
914,Rs.,"13,066",
915,Rs.,"57,999",
916,Rs.,"4,099",
917,Rs.,"11,499",
918,Rs.,"11,844",
919,Rs.,"41,999",
920,Rs.,"21,838",
921,Rs.,"45,999",
922,Rs.,"25,999",
923,Rs.,"9,117",
924,Rs.,"8,178",
925,Rs.,"6,439",
926,Rs.,"17,230",
927,Rs.,"31,999",
928,Rs.,"31,999",
929,Rs.,"6,400",
930,Rs.,"39,999",
931,Rs.,"4,950",
932,Rs.,"23,420",
933,Rs.,"19,400",
934,Rs.,"9,588",
935,Rs.,"32,650",
936,Rs.,"16,998",
937,Rs.,"23,600",
938,Rs.,"31,288",
939,Rs.,"19,999",
940,Rs.,"2,669",
941,Rs.,"12,450",
942,Rs.,"2,525",
943,Rs.,"31,288",
944,Rs.,"16,899",
945,Rs.,"39,999",
946,Rs.,"11,750",
947,Rs.,"10,730",
948,Rs.,"20,999",
949,Rs.,"42,999",
950,Rs.,"13,899",
951,Rs.,"27,499",
952,Rs.,"29,960",
953,Rs.,"37,999",
954,Rs.,"12,499",
955,Rs.,"39,999",
956,Rs.,"10,740",
957,Rs.,"19,999",
958,Rs.,"8,398",
959,Rs.,"10,700",
960,Rs.,"25,000",
961,Rs.,"23,500",
962,Rs.,"26,770",
963,Rs.,"29,999",
964,Rs.,"1,330",
965,Rs.,"37,999",
966,Rs.,"5,425",
967,Rs.,"18,599",
968,Rs.,"49,999",
969,Rs.,"39,999",
970,Rs.,"16,999",
971,Rs.,"29,999",
972,Rs.,"2,545",
973,Rs.,"28,499",
974,Rs.,"17,299",
975,Rs.,"27,000",
976,Rs.,"10,000",
977,Rs.,"39,399",
978,Rs.,"2,799",
979,Rs.,"49,999",
980,Rs.,"2,649",
981,Rs.,"10,999",
982,Rs.,"27,999",
983,Rs.,"49,999",
984,Rs.,"4,999",
985,Rs.,"27,999",
986,Rs.,"5,249",
987,Rs.,"11,699",
988,Rs.,"4,949",
989,Rs.,"24,538",
990,Rs.,"12,999",
991,Rs.,"17,999",
992,Rs.,"9,196",
993,Rs.,"43,699",
994,Rs.,"14,999",
995,Rs.,"13,557",
996,Rs.,"15,990",
997,Rs.,"16,999",
998,Rs.,"17,399",
999,Rs.,"1,419",
1000,Rs.,"13,457",
1001,Rs.,"49,999",
1002,Rs.,"24,895",
1003,Rs.,"6,015",
1004,Rs.,"23,775",
1005,Rs.,"35,999",
1006,Rs.,"16,172",
1007,Rs.,"26,999",
1008,Rs.,"32,280",
1009,Rs.,"19,990",
1010,Rs.,"13,558",
1011,Rs.,"2,670",
1012,Rs.,"109,499",
1013,Rs.,"31,999",
1014,Rs.,"11,999",
1015,Rs.,"64,999",
1016,Rs.,"10,000",
1017,Rs.,"18,999",
1018,Rs.,"11,999",
1019,Rs.,"10,000",
1020,Rs.,"43,999",
1021,Rs.,"15,999",
1022,Rs.,"67,999",
1023,Rs.,"13,999",
1024,Rs.,"1,320",
1025,Rs.,"40,460",
1026,Rs.,"23,455",
1027,Rs.,"34,999",
1028,Rs.,"24,999",
1029,Rs.,"15,999",
1030,Rs.,"32,999",
1031,Rs.,"11,799",
1032,Rs.,"31,750",
1033,Rs.,"34,999",
1034,Rs.,"9,499",
1035,Rs.,"19,157",
1036,Rs.,"69,999",
1037,Rs.,"12,249",
1038,Rs.,"10,798",
1039,Rs.,"4,800",
1040,Rs.,"49,999",
1041,Rs.,"54,999",
