,Name,Price,Vendor,VendorLink
493,HP 15 DY1051WM. SILVER 10TH CI5-1.0 8GB 256GB-SSD 15.6'' W10+1 YR INT,"Rs. 115,999",Daraz,https://www.daraz.pk/products/hp-15-dy1051wm-silver-10th-ci5-10-8gb-256gb-ssd-156-w101-yr-int-i209878516-s1416496592.html?search=1
494,"Dell Latitude 3510 10th Gen Core i3, 4GB DDR4, 1TB HDD, 15.6"" HD, DOS","Rs. 83,000",Daraz,https://www.daraz.pk/products/dell-latitude-3510-10th-gen-core-i3-4gb-ddr4-1tb-hdd-156-hd-dos-i194926380-s1389528211.html?search=1
495,"HP 15S-DU2039TX 10th Gen Core i5, 4GB, 1TB HDD, MX130 2GB, 15.6"" FHD IPS, DOS","Rs. 102,000",Daraz,https://www.daraz.pk/products/hp-15s-du2039tx-10th-gen-core-i5-4gb-1tb-hdd-mx130-2gb-156-fhd-ips-dos-i216599798-s1426446713.html?search=1
496,DELL LATITUDE E5470 14-inch Notebook 2.50 GHz Intel Core i5 6th Generation 8GB Ram 256GB SSD Windows® 10 Activated,"Rs. 60,000",Daraz,https://www.daraz.pk/products/dell-latitude-e5470-14-inch-notebook-250-ghz-intel-core-i5-6th-generation-8gb-ram-256gb-ssd-windows-10-activated-i220145206-s1433421077.html?search=1
497,LENOVO THINKPAD Yoga 11E - 11.6 Inch -Intel Celeron N3450 (4th Generation) 4 GB RAM - 320 GB HARD DRIVE Windows® 10 Activated,"Rs. 30,000",Daraz,https://www.daraz.pk/products/lenovo-thinkpad-yoga-11e-116-inch-intel-celeron-n3450-4th-generation-4-gb-ram-320-gb-hard-drive-windows-10-activated-i219882893-s1432859286.html?search=1
498,HP 15 DY100. SILVER 10TH CI5-1.6 8GB 256GB-SSD 15.6'' - HD + W10.90 DAYS (RF),"Rs. 109,999",Daraz,https://www.daraz.pk/products/hp-15-dy100-silver-10th-ci5-16-8gb-256gb-ssd-156-hd-w1090-days-rf-i209882357-s1416500702.html?search=1
499,HP Elitebook 8470p 14-inch Notebook 2.50 GHz Intel Core i5 3rd Generation 4GB Ram 250GB Hard disk Windows® 10 Activated,"Rs. 33,000",Daraz,https://www.daraz.pk/products/hp-elitebook-8470p-14-inch-notebook-250-ghz-intel-core-i5-3rd-generation-4gb-ram-250gb-hard-disk-windows-10-activated-i219926490-s1432921269.html?search=1
500,"Lenovo Ideapad 330 Laptop Intel Celeron N4000, 4GB, 1TB, (Official Warranty, Onyx Black)","Rs.50,900",Czone,https://www.czone.com.pk/laptops-lenovo-laptops-lenovo-ideapad-330-laptop-intel-celeron-n4000-4gb-1tb-official-warranty-onyx-black-pakistan-p.11449.aspx
501,"Lenovo Ideapad 330 Laptop - Intel Celeron N4000, 4GB, 1TB, Platinum Grey (Local Warranty)","Rs.50,990",Czone,https://www.czone.com.pk/laptops-lenovo-laptops-lenovo-ideapad-330-laptop-intel-celeron-n4000-4gb-1tb-platinum-grey-local-warranty-pakistan-p.11319.aspx
502,"Asus E410MA-202.Blue Laptop - Intel Celeron N4020 4GB 128GB eMMC W10 14"" HD","Rs.55,900",Czone,https://www.czone.com.pk/laptops-asus-laptops-asus-e410ma-202-blue-laptop-intel-celeron-n4020-4gb-128gb-emmc-w10-14-hd-pakistan-p.11019.aspx
503,"Lenovo IdeaPad 3 Laptop - Intel Pentium Gold 6405U, 4GB, 128GB SSD, Business Black, W10","Rs.59,500",Czone,https://www.czone.com.pk/laptops-lenovo-laptops-lenovo-ideapad-3-laptop-intel-pentium-gold-6405u-4gb-128gb-ssd-business-black-w10-pakistan-p.11062.aspx
504,"Dell Vostro 14 3401 Laptop - 10th Gen Ci3, 4GB, 1TB, 14"" HD, Dell Essential Backpack (Local Warranty)","Rs.67,000",Czone,https://www.czone.com.pk/laptops-dell-laptops-dell-vostro-14-3401-laptop-10th-gen-ci3-4gb-1tb-14-hd-dell-essential-backpack-local-warranty-pakistan-p.10585.aspx
505,"Dell Inspiron 15 3505 Laptop - AMD Ryzen 3 3250U, 4GB, 1TB, Windows 10, Soft Mint (Official Warranty)","Rs.69,500",Czone,https://www.czone.com.pk/laptops-dell-laptops-dell-inspiron-15-3505-laptop-amd-ryzen-3-3250u-4gb-1tb-windows-10-soft-mint-official-warranty-pakistan-p.11359.aspx
506,"Dell Inspiron 15 3505 Laptop - AMD Ryzen 3 3250U, 4GB, 1TB, Windows 10, Accent Black (Official Warranty)","Rs.69,500",Czone,https://www.czone.com.pk/laptops-dell-laptops-dell-inspiron-15-3505-laptop-amd-ryzen-3-3250u-4gb-1tb-windows-10-accent-black-official-warranty-pakistan-p.10675.aspx
507,"HP 15-DB1069AU Laptop AMD Ryzen 3 3200U, 4GB, 1TB, 15.6"" HD, Windows 10","Rs.72,500",Czone,https://www.czone.com.pk/laptops-hp-laptops-hp-15-db1069au-laptop-amd-ryzen-3-3200u-4gb-1tb-15-6-hd-windows-10-pakistan-p.11507.aspx
508,"HP 14-DK1031DX Laptop - AMD Ryzen 3, 8GB, 1TB, 14"" HD, W10","Rs.72,500",Czone,https://www.czone.com.pk/laptops-hp-laptops-hp-14-dk1031dx-laptop-amd-ryzen-3-8gb-1tb-14-hd-w10-pakistan-p.11060.aspx
509,"HP 15-DW3024NIA Laptop - 11th Gen Intel Core i3, 4GB, 256GB SSD, Jet black","Rs.75,500",Czone,https://www.czone.com.pk/laptops-hp-laptops-hp-15-dw3024nia-laptop-11th-gen-intel-core-i3-4gb-256gb-ssd-jet-black-pakistan-p.11191.aspx
510,"Dell Vostro 3500 Laptop - Intel Core i3-1115G4 - 4GB - 1TB HDD - 15.6"" FHD - Accent Black - Local Warranty","Rs.76,500",Czone,https://www.czone.com.pk/laptops-dell-laptops-dell-vostro-3500-laptop-intel-core-i3-1115g4-4gb-1tb-hdd-15-6-fhd-accent-black-local-warranty-pakistan-p.11153.aspx
511,"HP 15S-DU3502TU Laptop -11th Gen Intel Core i3, 4GB, 1TB, Windows 10 (Official Warranty)","Rs.76,900",Czone,https://www.czone.com.pk/laptops-hp-laptops-hp-15s-du3502tu-laptop-11th-gen-intel-core-i3-4gb-1tb-windows-10-official-warranty-pakistan-p.11364.aspx
512,"HP 15-DW3048NE Laptop 11th Gen Intel Core i3, 8GB, 256GB SSD, 15.6"" HD, Black","Rs.78,500",Czone,https://www.czone.com.pk/laptops-hp-laptops-hp-15-dw3048ne-laptop-11th-gen-intel-core-i3-8gb-256gb-ssd-15-6-hd-black-pakistan-p.11477.aspx
513,"HP 14-DQ2038MS Touchscreen Laptop 11th Gen Core i3, 8GB, 256GB SSD, W10","Rs.83,500",Czone,https://www.czone.com.pk/laptops-hp-laptops-hp-14-dq2038ms-touchscreen-laptop-11th-gen-core-i3-8gb-256gb-ssd-w10-pakistan-p.11403.aspx
